Year,Title,Author,Keywords,JEL_Category,Citations,Abstract
2025,Markups Across Space and Time,"Anderson, E; Rebelo, S; Wong, A",Gross margins; Prices; Marginal costs; Business cycles; MONETARY NONNEUTRALITY; CYCLICAL BEHAVIOR; INTEREST-RATES; STICKY PRICES; MARGINAL COST; UNITED-STATES; MENU COSTS; US; RIGIDITIES; POLICY,Economics; Business & Economics,1,"In this article, we provide direct evidence on the behaviour of markups in the retail sector across space and time. Markups are measured using gross margins. We consider three levels of aggregation: the retail sector as a whole, the firm, and the product level. We find that: (1) markups are relatively stable over time and mildly procyclical; (2) there is a large regional dispersion in markups; (3) there is a positive cross-sectional correlation between local income and local markups; and (4) differences in markups across regions result from differences in the assortment of goods sold in different regions, not from deviations from uniform pricing. We propose a simple model consistent with these facts."
2025,Firm Quality Dynamics and the Slippery Slope of Credit Intervention,"Li, WH; Li, Y",Credit intervention; Heterogeneous firms; Firm quality; Central bank; Crisis dynamics; CAPITAL REALLOCATION; MACROECONOMIC MODEL; ENDOGENOUS LIQUIDITY; ADVERSE SELECTION; RISK; MISALLOCATION; MARKETS; INVESTMENT; MANAGEMENT; INNOVATION,Economics; Business & Economics,0,"A salient trend in crisis intervention has emerged in recent decades: government and central banks have offered funding directly to nonfinancial firms, bypassing banks and other credit intermediaries. We analyse the long-term consequences of such policies by focussing on firm quality dynamics. In a laissez-faire economy, firms with high productivity are more likely to survive crises than those with low productivity. The government funding support saves more firms but cannot be customized based on firm productivity, dampening the cleansing effect of crises. The policy distortion is self-perpetuating: a downward bias in the firm quality distribution necessitates larger interventions in future crises. Our mechanism is quantitatively important: we show that if policymakers ignore such distortionary effects on firm quality dynamics, the resultant credit intervention would almost double the optimal amount."
2025,Life-Cycle Wages and Human Capital Investments: Selection and Missing Data,"Gobillon, L; Magnac, T; Roux, S",Human capital investment; Wage inequalities; Factor models; Missing data; PANEL-DATA MODELS; WORK EXPERIENCE; CONSUMPTION; EARNINGS; INCOME; PARTICIPATION; HETEROGENEITY; INEQUALITY; DISCRETE; MICRO,Economics; Business & Economics,0,"We derive wage equations with individual-specific coefficients from a structural model of human capital investment over the life-cycle. This model allows for interruptions in labour market participation and deals with missing data and attrition problems. We propose a new framework that deals with missingness at random and is based on factor decompositions that allow for flexible control of selection. Our approach leads to an interactive effect wage specification, which we estimate using long administrative panel data on male wages in the private sector in France. A structural function approach shows that interruptions negatively affect average wages. Interestingly, they also negatively affect the inter-decile range of wages after twenty years. This is only partly due to the fact that interruptions are endogenous."
2025,Choice and Opportunity Costs,"Manzini, P; Mariotti, M; Ülkü, L",Opportunity costs; Intransitive choice; Menu effects; RATIONALITY; REGRET; MODEL,Economics; Business & Economics,0,"We define the (physical) opportunity cost of a choice x as the alternative that would be chosen if x were not available, and the opportunity cost of any unchosen alternative as x itself. The agent has preferences over pairs consisting of alternatives and their opportunity costs. Because costs affect choice and vice-versa, choice results from an intrapersonal equilibrium rather than from simple maximisation. In spite of significant rationality assumptions, the resulting behaviour can be highly non-standard, allowing intransitive choices. Rational utility maximisation is ensured by an additional new consistency condition on preferences. However, we argue that the maximised utility cannot be straightforwardly interpreted as a welfare relevant ""revealed preference"". A generalisation of our model accommodates additional departures from standard rationality in the form of menu effects."
2025,What Do Policies Value?,"Björkegren, D; Blumenstock, JE; Knight, S",Targeting; Welfare; Heterogeneous treatment effects; CONDITIONAL CASH TRANSFERS; PROGRAM; POOR,Economics; Business & Economics,0,"When a policy prioritizes one person over another, is it because they benefit more, or because they are preferred? This paper develops a method to uncover the values consistent with observed allocation decisions. We estimate how much each person benefits from an intervention, and then reconcile the allocation with (i) the welfare weights assigned to different people; (ii) heterogeneous treatment effects of the intervention; and (iii) weights on different outcomes. We demonstrate this approach by analyzing Mexico's PROGRESA anti-poverty programme. The analysis reveals that while the programme prioritized certain subgroups-such as indigenous households-the fact that those groups benefited more implies that the programme did not actually assign them a higher welfare weight. We also find evidence that the policy valued outcomes differently from households. The PROGRESA case illustrates how the method makes it possible to audit existing policies, and to design future policies that better align with values."
2025,All Along the Watchtower: Military Landholders and Serfdom Consolidation in Early Modern Russia,"Matranga, A; Natkhov, T",Serfdom; Extractive institutions; Factor markets; Early modern Russia; INSTITUTIONS; RISE; PROPERTY; SLAVERY,Economics; Business & Economics,0,"This article examines the emergence of coercive labour institutions using the case of serfdom in early modern Russia. We argue that serfdom consolidated under the pressure of landholding military elites who gained political influence due to the prolonged struggle with steppe nomads. To contain nomadic raids, the Russian state erected defence lines on the southern frontier, and granted land in the area to soldiers in charge of its defence. The soldiers could not farm while on defence duty, nor could they compete in the market for peasant labour, as the land had been selected for its defensive rather than agricultural value. The system was therefore only sustainable by restricting labour mobility. In response to the volume of landholders' collective petitions, the Russian state gradually tied peasants to the land and institutionalized serfdom in the written law. Using newly digitized population data from the 17th century, we show a higher prevalence of serfs and military landholders in districts on the defence line. We also find a higher prevalence of small estates-up to 25 serf households-sufficient to support a soldier and his family. Placebo tests show that these patterns do not hold for non-serf peasants, or for merchants and artisans. To ensure causality, we develop a novel algorithm that reconstructs the optimal invasion routes for nomads and pinpoints the optimal location of the defence line using topographic data. Our results highlight the primacy of political economy factors over purely economic ones, such as the land-labour ratio or the grain trade, in the development of serfdom. This sheds new light on the possible mechanisms of institutional divergence between Eastern and Western Europe in the early modern period."
2025,Demand Stimulus as Social Policy,"Auerbach, AJ; Gorodnichenko, Y; Murphy, D",Fiscal policy; Inequality; Social policy; E62; H56; FISCAL STIMULUS; MULTIPLIERS; MARRIAGE; DIVORCE; TIME,Economics; Business & Economics,0,"We exploit a panel of city-level data with rich demographic information to estimate the distributional effects of Department of Defense spending and its effects on a range of social outcomes. The income and employment generated by defence spending accrue predominantly to households without a bachelor's degree. These households as well as Black and Hispanic households tend to disproportionately benefit from this spending. Defence spending also promotes a range of beneficial social outcomes that are often targeted by government programs, including reductions in poverty, divorce rates, disability rates, and mortality rates, as well as increases in homeownership rates, health insurance rates, and occupational prestige. We compare the effects of defence spending with the effects of general demand shocks and explore reasons for the differential effects of the shocks."
2025,"Incentive Complexity, Bounded Rationality, and Effort Provision","Abeler, J; Huffman, D; Raymond, C",INFORMATION SUPPRESSION; SHROUDED ATTRIBUTES; RATCHET PRINCIPLE; SALIENCE; RESTRICTION; CONTRACTS; TAXATION; DEMAND; MYOPIA; GAME,Economics; Business & Economics,2,"Using field and laboratory experiments, we demonstrate that the complexity of incentive schemes and worker bounded rationality can affect effort provision. This is because some attributes of the incentives become opaque; that is, workers do not take them into account. In our setting, workers overprovide effort relative to a fully rational benchmark, improving efficiency. We identify contract features, and facets of worker cognitive ability, that matter for opacity. We find that even relatively small degrees of opacity can cause large shifts in behavior. Our results illustrate important implications of complexity and bounded rationality for designing and regulating workplace incentive contracts."
2025,Managing Public Portfolios,"de Lannoy, LA; Bhandari, A; Evans, D; Golosov, M; Sargent, T",OPTIMAL FISCAL-POLICY; MONETARY-POLICY; TERM STRUCTURE; EXPECTED RETURNS; OPTIMAL MATURITY; ASSET RETURNS; RISK; DEBT; CONSUMPTION; SUBSTITUTION,Economics; Business & Economics,0,"We study optimal public portfolios in a class of macro-finance models that includes widely used specifications of households' risk and liquidity preferences, market structures for financial assets, and trading frictions. An optimal portfolio hedges fluctuations in interest rates, primary surpluses, and income inequalities. We express an optimal portfolio in terms of statistics that are functions only of macro and financial market data. An application to US data shows that hedging interest rate risk plays a dominant role in shaping an optimal maturity structure of US government debt."
2025,Self-Fulfilling Debt Crises with Long Stagnations,"Ayres, J; Navarro, G; Nicolini, JP; Teles, P",SOVEREIGN DEFAULT; MODELS,Economics; Business & Economics,3,"We assess the quantitative relevance of expectations-driven sovereign debt crises, focusing on the southern European crisis of the early 2010s and the Argentine default of 2001. The source of multiplicity is the one proposed by Calvo. Crucial for multiplicity is an output process characterized by long periods of either high growth or stagnation, which we estimate using data for these countries. Our analysis suggests that expectations-driven debt crises are quantitatively relevant but state dependent, as they occur only during periods of stagnation. Expectations and how they respond to policy are the major factors explaining default rates and credit spread differences between Spain and Argentina."
2025,Changing Income Risk across the US Skill Distribution: Evidence from a Generalized Kalman Filter,"Braxton, JC; Herkenhoff, K; Rothbaum, J; Schmidt, L",TECHNOLOGICAL-CHANGE; EARNINGS; INEQUALITY; DYNAMICS; CONSUMPTION; GROWTH; COMPLEMENTARITY; VOLATILITY; RECESSIONS; COMPUTERS,Economics; Business & Economics,1,"For whom has earnings risk changed, and why? We answer these questions by combining the Kalman filter and EM algorithm to estimate persistent and temporary earnings for every individual at every point in time. We apply our method to administrative earnings linked with survey data. We show that since the 1980s, persistent earnings risk rose by 12.5 percent for both employed and unemployed workers and the scarring effects of unemployment doubled. At the same time, temporary earnings risk declined. Using education and occupation codes, we show that rising persistent earnings risk is concentrated among high-skill workers and related to technology adoption."
2025,Gender Differences in Financial Advice,"Bucher-Koenen, T; Hackethal, A; Koenen, J; Laudenbach, C",DISCRIMINATION; ECONOMICS; LITERACY; WOMEN,Economics; Business & Economics,3,"Based on data gathered from 27,000 real-world meetings between financial advisors and clients of a large German bank, we show that advisors offer more self-serving advice to women, while men are more likely to receive sales fee rebates and less likely to be recommended expensive in-house multi-asset (IHMA) funds. Additional client and advisor surveys provide evidence consistent with statistical discrimination based on gender as a proxy for client financial sophistication, with female clients exhibiting lower financial literacy, confidence, and price sensitivity. Moreover, female advisors report less confidence in their own professional skills and engage in less discrimination than male colleagues."
2025,When Product Markets Become Collective Traps: The Case of Social Media,"Bursztyn, L; Handel, B; Jiménez-Durán, R; Roth, C",WELFARE; EXTERNALITIES,Economics; Business & Economics,5,"Individuals might experience negative utility from not consuming a popular product. With such externalities to nonusers, standard consumer surplus measures, which take aggregate consumption as given, fail to appropriately capture consumer welfare. We propose an approach to account for these externalities and apply it to estimate consumer welfare from two social media platforms: TikTok and Instagram. Incentivized experiments with college students indicate positive welfare based on the standard measure but negative welfare when accounting for these nonuser externalities. Our findings highlight the existence of product market traps, where active users of a platform prefer it not to exist. (JEL D62, D83, D91, L82, Z13)"
2025,First-Generation Elite: The Role of School Social Networks,"Cattan, S; Salvanes, KG; Tominey, E",INTERGENERATIONAL MOBILITY; GENDER; EDUCATION; OUTCOMES; ABILITY; BOSTON; BIASES,Economics; Business & Economics,0,"High school students from non-elite backgrounds are less likely to have peers with elite-educated parents than their elite counterparts. This difference in social capital is a key driver of the high intergenerational persistence in elite education. We identify a positive elite peer effect on enrollment in elite programs and labor market earnings, then disentangle underlying mechanisms. Exploiting a lottery in assessment, a causal mediation analysis shows the overall positive peer effect reflects a positive effect on application behavior (con-ditional on GPA). When considering income mobility, we find that further mixing between high school elite and non-elite students could improve mobility. (JEL D31, I21, I23, I24, J31, J62, Z13)"
2025,Exorbitant Privilege Gained and Lost: Fiscal Implications,"Chen, ZF; Jiang, ZY; Lustig, H; Van Nieuwerburgh, S; Xiaolan, MZ",GLOBAL IMBALANCES; PUBLIC DEBT; MODEL; DEMAND; DOLLAR; TESTS,Economics; Business & Economics,4,"We study three centuries of fiscal history. Dominant safe asset suppliers issue more debt than future primary surpluses can justify, even after accounting for seigniorage revenue from convenience yields. This pattern holds for the Dutch Republic (seventeenth to eighteenth centuries), the United Kingdom (eighteenth to nineteenth centuries), and the United States (twentieth to twenty-first centuries). When Dutch and UK fiscal fundamentals deteriorated, they lost their dominant position as the safe asset supplier, and their debt became fully backed by primary surpluses. Exorbitant privilege stems from issuing overpriced debt in the early stage, followed by bondholder losses and financial repression in the later stage."
