Year,Title,Author,Keywords,Journal,Citations,Abstract
2025,量化交易与金融市场稳定——基于逐笔委托数据的分析,屈源育;Lin William Cong;吴卫星,量化交易;程序化交易;算法交易;金融市场稳定;风险传染,经济研究,0,在大数据技术快速发展的背景下，量化交易作为一种新型交易形式对完善市场价格发现功能具有积极作用，但也可能带来交易趋同性增加等问题。本文利用高频逐笔委托数据从多维度识别量化交易行为，采用工具变量方法缓解潜在内生性问题，以探究量化交易如何影响金融市场稳定。研究发现，量化交易对市场尾部风险传染具有非对称影响，主要体现在四个方面：（1）量化交易能够减缓市场对个股尾部风险的冲击，这与量化交易提供流动性及加快价格发现的能力有关（流动性效应），并在基本面信息凸显情形（高信息披露质量、价值低估以及低投资者情绪）下更加显著；（2）量化交易放大了个股对市场尾部风险的传染，这与量化策略的趋同交易属性有关（传染性效应），并在投机属性主导情形（低公募基金占比、高波动性量化交易占优以及高投资者情绪）下更加明显；（3）量化交易不同效应的发挥与市场环境有关；（4）加强量化交易的信息监管对抑制个股和市场之间的尾部风险传染作用显著，非差异化限制在部分情形下可能削弱其功能发挥。本文为探索量化交易如何影响资本市场提供了崭新的证据，也对完善量化交易的监管措施提供了启示。
2025,债券信用评级的结构性膨胀问题研究——基于城投债一二级市场差异的视角,金凌;李志生;杨国超,城投债;信用评级膨胀;一级市场发行利差;二级市场交易利差,经济研究,0,信用评级是债券市场的“信用锚”，但过度膨胀的债券信用评级不利于识别债券市场的信用风险并对风险进行合理定价。本文选择与城投债风险特征相似的债券为参照基准，对比城投债的信用评级与参照基准之间的差异，发现城投债信用评级存在结构性的评级膨胀现象，且该现象在考虑了评级标准差异、债务风险特征等因素后仍然稳健，地方政府强烈的融资动机以及评级机构间的激烈竞争是城投债信用评级膨胀的主要诱因。进一步地，膨胀的城投债信用评级虽然能显著降低一级市场债券发行利差，但二级市场交易利差会快速抬升以反映债券实际信用风险。该发现表明，债券发行人利用膨胀的信用评级降低了债务融资成本，但二级市场投资者识别了评级膨胀引致的一级市场定价扭曲，促使二级市场对一级市场的发行利差进行调整。机制分析发现，中介机构声誉、债券市场交易和信息机制对评级膨胀与债券定价的关系产生了重要影响。为此，应高度重视健全完善信用评级市场，强化对评级膨胀问题的监管，充分发挥金融信息中介的作用和二级市场的定价功能，助力地方债务综合治理。
2025,气候物理风险与资本市场定价：基于权益资本成本视角,程时雄;何宇航;刘朝良,气候物理风险;资本市场;权益资本成本;实体经济,经济研究,0,极端天气已成为我国经济可持续发展面临的重大安全挑战，资本市场作为引导资源配置的枢纽，能否准确识别并定价相关风险，是有待深入研究的问题。本文基于一个包含气候物理冲击、投资者风险信念更新和企业经营调整的理论分析框架，揭示了气候物理风险定价的传导机制。在此基础上，利用气象站点、台风路径、灾害统计等多元数据集，对我国上市公司2010—2023年的气候物理风险敞口进行测度，并研究其与权益资本成本之间的动态关联。研究发现，我国资本市场对气候物理风险呈现“事后定价”特征，即当年气候物理风险显著提高次年权益资本成本，对当年权益资本成本则无显著影响。机制检验表明，气候物理风险通过引发企业经营基本面重估、投资者风险信念更新及市场信息摩擦加剧，推高后期权益资本成本。异质性分析揭示，资本市场对气候物理风险的定价效率随企业经营条件、市场风险认知与信息披露环境不同而存在结构性差异。进一步研究发现，市场定价信号会传导至企业灾后资产配置决策。同时，地方政府加强防灾基础设施投入与气候适应性城市建设，均有助于降低企业气候物理风险溢价。本文为理解气候风险、资本市场与实体经济之间的关系提供了经验证据，为健全气候风险治理体系与引导资本市场更好地服务实体经济高质量发展提供了参考。
2025,中国跨境投资企业的风险管理与国际税务安排,马湘君;田巍;余淼杰,风险转移;利润转移;转让定价;避税;跨境投资企业,经济研究,0,跨境投资企业通过关联交易向低税率国家（地区）转移利润的避税行为侵蚀了政府的税基。现有国际税收体系下，跨境投资企业常用的利润转移手段之一是将关联交易涉及的经营风险转移至低税率国家（地区），并根据转让定价法规所遵循的风险与利润相匹配的原则将利润转移出去。本文首次使用中国微观企业数据检验我国跨境投资企业的风险转移行为，发现当中国与被投资国（地区）企业所得税税率差上升10%时，风险被转移至低税率被投资地子公司，留存在中国母公司的经营风险在均值水平上下降了12.8%。并且，此效应只显著存在于涉及较多经营风险的企业中，如研发风险、市场风险、存货风险、信用风险等。同时，本文全面估计了中国跨境投资企业在所有被投资地（包括非“避税天堂”）的避税规模，并测算出政府由此产生的年企业所得税损失约为534亿—592亿元。与发达国家（地区）相比，该损失占所得税税基的比例相对较低。
2025,所得税税制差异、组织形式选择与税基转移——来自生产经营所得税率调整的证据,杨龙见;武子怡;叶菁菁;刘冲,个人所得税;组织形式;企业避税;企业进入,经济研究,0,不同税种间的制度差异会引发企业为降低税负而进行跨组织形式的税基转移。本文以2018年我国个人经营所得所得税税率下调为政策冲击，利用工商注册数据考察了所得税制差异如何影响企业组织形式的选择，并研究了税基在企业所得税和个人所得税之间的转移情况。主要结论如下：（1）为转移税基而新设立的非法人企业市场进入率平均增加了5.57%，个人独资企业是主要选择类型；（2）税基转移行为在商贸服务业、高薪行业、外包性强的行业以及中小微企业中更普遍；（3）有税基转移“通道”的法人企业利润减少了8.26%，企业所得税减少了16.97%。研究表明，跨组织形式的税基转移可能导致部分政策红利损失。在数字经济等新兴业态兴起的背景下，未来政策调整应更注重税制平衡，加强不同税种之间的协同与配合。
2025,外部冲击与国内贸易循环：国内大市场的经济稳定器作用,才国伟;韩天赐;李兵,外部市场;关税冲击;国内贸易;稳定器,经济研究,0,国内贸易如何适应外部冲击而变化，对于科学制定经济政策尤为重要。本文首先构建了两国多区域的一般均衡模型，揭示了关税冲击对于国内区域之间贸易流的影响。模型预示：国内卖出地承受的关税越高，其向国内其他地方销售的产品越多；而买入地承受的关税越高，其从国内其他地方购买的产品越少。随后，本文利用中国海关数据、美国加征关税和中国城市间贸易流量的月度数据，对此进行了实证分析，结果证实了理论预测及其稳健性。进一步研究发现，贸易成本是国内贸易流量调整的关键机制，关税外部冲击对国内贸易调整的影响因中间品质量而表现出显著的异质性。同时，国内贸易对外部冲击具有稳定器作用，且作用大小与一个地区国内贸易流量及其在国内贸易网络中的网络地位有关。本文探讨了国内市场大循环在应对外部冲击方面的基础性作用，为应对全球经济不确定性、构建新发展格局提供了理论支撑。
2025,跨境数据流动如何驱动企业创新：理论分析与中国经验,余典范;贾咏琪;张艺璇,跨境数据流动;企业创新;全球创新网络地位,经济研究,0,构建高效、便利且安全的跨境数据流动机制，是赋能企业创新、提升国际竞争力的内在要求。本文将兼具规模与多元特征的跨境数据纳入异质性企业模型，从理论层面阐释了跨境数据流动通过重塑研发的成本—收益权衡，进而影响企业的创新决策与战略布局。本文基于2011—2022年中国A股有海外业务上市公司的样本，通过匹配跨境数据流动协议签署情况检验跨境数据流动对企业创新的影响。研究表明：跨境数据流动主要通过如下机制推动企业创新：促进国际前沿技术知识的捕获与全球市场需求的精准识别，提升数字化研发要素的配置效率，引导研发投入在国际前沿领域实现纵向深化与横向拓展。异质性分析发现，该创新效应在数字人力资本水平丰裕、数据依赖度高、深度参与国际市场的企业以及数据基础设施完善的经济体中更加显著。更重要的是，包含全球多元异质知识的跨境数据还有助于促进突破式创新，提升企业在全球创新网络中的地位。企业自身的数据安全治理水平以及协议条款对发展和安全的平衡，是跨境数据流动创新红利得以充分释放的关键前提。本研究不仅为理解跨境数据流动的创新驱动效应提供了新的微观证据，也为优化全球数据治理体系、构建开放共赢的数字经济格局提供了政策启示。
2025,数字技能对居民收入的影响：基于效率提升与要素配置的视角,蔡宇涵;刁寒钰,数字技能;个人收入;要素配置;数字经济,经济研究,0,数字技术发展对居民的影响在广度和深度上都呈加速趋势，学界对其影响居民收入的理论与经验研究取得显著进展，但个人数字技能对收入影响的大小和机制方面，仍然有大量未知领域。通过将数字技能引入经典劳动供给模型，本文从效率提升与要素配置的视角构建分析框架，提出数字技能影响收入的假说。本文利用中国家庭数字经济调查数据库，定义并测度居民数字技能，估计了其对个人收入的影响大小和机制。研究发现，数字技能每提高1单位，个人年收入将增长约600元。主要机制包括：（1）提升数字经济活动回报率并引致时间投入增加；（2）促进数据和信息等新生产要素的获得。异质性分析表明，教育与数字技能在生产活动中有互补关系。本文为理解居民行为决策提供了新视角、新证据，也为制定有效的居民增收政策提供了参考。
2025,坚持用中长期规划指导经济社会发展,王蕴;毛科俊;于畅,中长期规划;经济社会发展;发展战略;政府和市场,经济研究,0,新中国成立70多年来，中国共产党长期领导编制实施五年规划（计划），探索出以中长期规划指导经济社会发展的宝贵经验。中长期规划已成为中国共产党治国理政的重要方式，有利于协同发挥有效市场和有为政府的作用。我国中长期规划始终锚定建设社会主义现代化强国的宏伟目标，是现代化长远战略的阶段性部署和安排。党的十八大以来，以习近平同志为核心的党中央持续推进中长期规划理论和实践创新，明确了国家发展规划在宏观经济治理体系中发挥战略导向作用，指引我国构建起以国家发展规划为统领、以空间规划为基础、以专项规划和区域规划为支撑的统一规划体系，形成了坚持系统观念、目标导向和问题导向相结合、深入开展调查研究、集中精力办好自己的事、顶层设计和问计于民相统一等一系列规划编制的科学方法，规划实施的体制机制日臻健全，有效提升规划整体效能、保障规划落地落实。编制实施“十五五”规划要充分运用已有理论创新和实践经验，准确把握推进中国式现代化的阶段性要求，从全局和战略高度谋划目标任务，努力为基本实现社会主义现代化奠定坚实基础。
2025,全球价值链全要素生产率测度、演变及其结构解析,闫冰倩,全球价值链;全要素生产率;结构分解;全球生产网络;投入产出分析,经济研究,0,"鉴于经济全球化和价值链分割化同样对全要素生产率产生深远影响，本文提出基于全球价值链视角下的全要素生产率（Total Factor Productivity,TFP）测算框架，从理论上论证全球价值链TFP与传统TFP的差异，进一步构建全球价值链TFP变化的分解模型，将其分解为技术变化的贡献和配置结构的贡献，并运用最新的EXIOBASE全球投入产出表和经济社会核算数据，对1995—2022年49个国家和地区的全球价值链TFP变化及其驱动因素进行测算和系统评估。研究结果表明：（1）相比于传统测量方法，全球价值链TFP将生产配置结构因素也纳入考虑，得到的世界全球价值链TFP实际仍处于上升区间，为“生产率悖论”提供了一个可能的解释；价值链内中间品来源结构不断优化提升了全球层面的TFP水平，而传统基于总产出的TFP分解则会低估价值链内配置结构效应；（2）考察期内，中国的全球价值链TFP总体呈现上升趋势，且上升幅度最大，其中配置结构效应是影响中国全要素生产率变化的主要因素，表明价值链结构呈现升级态势；（3）全球价值链TFP的区域分解结果表明，份额效应在每个阶段的贡献率均为正，且大于生产率效应的贡献率，是中国全要素生产率影响全球全要素生产率的主要渠道。大力发展新质生产力的着力点应是科技创新和资源配置效率改善，分析表明中国价值链内中间品来源结构仍有进一步优化的空间。"
